sheet,col,n,mean,median,min,max,std
биохимия,16,30,15.5,15.5,1.0,30.0,8.65544144839919
биохимия,17,30,0.1,0.1,0.1,0.1,0.0
биохимия,21,30,2.2879509999999996,1.7321999999999997,0.348,5.01783,1.3488419015396134
биохимия,22,30,0.7600816666666665,0.60164,0.12797,1.5596899999999994,0.40219615192161584
биохимия,23,30,2.0834664800000002,1.6450288,0.07534500000000002,4.6480916,1.2762199408067483
биохимия,24,30,57.198775,43.30499999999999,8.699999999999998,125.44574999999999,33.72104753849033
биохимия,25,30,19.002041666666663,15.041,3.19925,38.992249999999984,10.054903798040396
биохимия,26,30,76.20081666666667,58.346,11.899249999999999,164.16875,43.724801964147176
биохимия,27,30,52.086662,41.12572,1.8836250000000005,116.20228999999999,31.905498520168706
биохимия,29,30,15.5,15.5,1.0,30.0,8.65544144839919
биохимия,30,30,2.0,2.0,2.0,2.0,0.0
биохимия,31,30,20.0,20.0,20.0,20.0,0.0
биохимия,32,30,0.3433333333333333,0.39,0.0,0.72,0.17282618114420306
биохимия,33,30,3.1666666666666665,3.25,0.0,11.499999999999998,2.436983563524565
биохимия,35,30,15.5,15.5,1.0,30.0,8.65544144839919
биохимия,36,30,3.8166666666666664,4.0,1.2,5.8,1.0859967260028407
биохимия,38,30,15.5,15.5,1.0,30.0,8.65544144839919
биохимия,39,30,3.83,3.8,2.1,5.9,0.8885006096415091
биохимия,41,30,15.5,15.5,1.0,30.0,8.65544144839919
биохимия,42,30,3.1380666666666666,2.17,0.698,9.89,2.400418059885032
биохимия,44,30,15.5,15.5,1.0,30.0,8.65544144839919
биохимия,45,30,5.123666666666667,4.095,1.57,15.6,3.3401302203490344
асс пл,4,31,0.031961967741935486,0.0329,0.00012099999999999999,0.0633,0.00969837997939686
асс пл,14,26,0.06128461538461538,0.0204,0.0131,1.0,0.18793751967548988
асс пл,15,26,0.0999,0.01965,0.0137,2.0,0.3801858270332063
асс пл,16,25,0.14236,0.0209,0.0133,3.0,0.5833830021521025
асс пл,17,25,0.19232,0.021,0.014,4.0,0.7785821595695601
асс пл,18,25,0.236272,0.0226,0.0134,5.0,0.9734673153301039
асс пл,2,30,3.0,3.0,1.0,5.0,1.4142135623730951
асс пл,3,30,0.03224,0.03175,0.0211,0.0452,0.00739957656446187
асс пл,5,30,0.032236666666666663,0.0313,0.0218,0.0472,0.006106361891957891
асс пл,8,30,0.032057999999999996,0.03186333333333333,0.02214,0.04412,0.00567190167338897
асс пл,9,30,0.002022385453225625,0.0018731618848370686,0.00043333333333333304,0.005372280707483558,0.0010748595278022711
