relay_id,event_ts,device,metric,before_30m_mean,after_0_30m_mean,after_30_120m_mean,delta_0_30m,delta_30_120m,n_before,n_after30,n_after120
9,2026-03-31 17:31:55,th-2,temperature,26.866666666666667,28.076666666666668,27.44111111111111,1.2100000000000009,0.5744444444444419,30,30,90
9,2026-03-31 17:31:55,th-2,humidity,31.1,34.0,32.44444444444444,2.8999999999999986,1.3444444444444414,30,30,90
9,2026-03-31 17:31:55,co2-1,temperature,27.06,28.046666666666667,27.243333333333332,0.9866666666666681,0.18333333333333357,30,30,90
9,2026-03-31 17:31:55,co2-1,humidity,35.873333333333335,38.77,36.76444444444444,2.8966666666666683,0.8911111111111083,30,30,90
9,2026-03-31 17:31:55,co2-1,co2,474.46666666666664,446.1333333333333,450.8333333333333,-28.333333333333314,-23.633333333333326,30,30,90
8,2026-03-31 17:32:05,th-1,temperature,26.650000000000002,27.826666666666668,27.191111111111113,1.1766666666666659,0.5411111111111104,30,30,90
8,2026-03-31 17:32:05,th-1,humidity,30.2,33.2,31.444444444444443,3.0000000000000036,1.2444444444444436,30,30,90
8,2026-03-31 17:32:05,th-2,temperature,26.88,28.08,27.438888888888886,1.1999999999999993,0.5588888888888874,30,30,90
8,2026-03-31 17:32:05,th-2,humidity,31.133333333333333,34.03333333333333,32.43333333333333,2.8999999999999986,1.2999999999999972,30,30,90
8,2026-03-31 17:32:05,co2-1,temperature,27.083333333333332,28.033333333333335,27.24111111111111,0.9500000000000028,0.15777777777777757,30,30,90
8,2026-03-31 17:32:05,co2-1,humidity,35.92333333333333,38.75666666666667,36.76555555555556,2.8333333333333357,0.842222222222226,30,30,90
8,2026-03-31 17:32:05,co2-1,co2,472.1,447.4,450.5,-24.700000000000045,-21.600000000000023,30,30,90
2,2026-03-31 17:52:44,th-1,temperature,27.55,27.333333333333332,27.164444444444445,-0.21666666666666856,-0.38555555555555543,30,30,90
2,2026-03-31 17:52:44,th-1,humidity,32.733333333333334,32.0,31.22222222222222,-0.7333333333333343,-1.5111111111111128,30,30,90
2,2026-03-31 17:52:44,th-2,temperature,27.82,27.556666666666665,27.418888888888887,-0.2633333333333354,-0.4011111111111134,30,30,90
2,2026-03-31 17:52:44,th-2,humidity,33.5,33.0,32.21111111111111,-0.5,-1.2888888888888914,30,30,90
2,2026-03-31 17:52:44,co2-1,temperature,27.933333333333334,27.39666666666667,27.21,-0.5366666666666653,-0.7233333333333327,30,30,90
2,2026-03-31 17:52:44,co2-1,humidity,38.78333333333333,36.660000000000004,36.68,-2.1233333333333277,-2.1033333333333317,30,30,90
2,2026-03-31 17:52:44,co2-1,co2,442.03333333333336,468.8,442.93333333333334,26.76666666666665,0.8999999999999773,30,30,90
2,2026-04-01 09:43:42,th-1,temperature,26.04,26.41,26.79111111111111,0.370000000000001,0.7511111111111113,30,30,90
